date,value,price,weekday,working_day,madrid_temp,barcelona_temp,bilbao_temp,sevilla_temp,valencia_temp
2020-10-08,4019168.0,103.9575,3,1,18.000004166666688,19.41327333333336,15.84305333333336,24.26089041666669,21.0272566666667
2020-10-09,3892236.0,104.4575,4,1,18.33674541666669,19.42269250000001,15.781058750000016,24.10130250000002,20.804376250000026
2020-10-10,3482237.0,92.58458333333334,5,1,17.210939583333353,17.65042375000002,13.397495000000015,23.465274583333358,19.983950833333356
2020-10-11,3196233.0,88.93374999999999,6,1,13.38465708333336,14.852185000000024,11.756718333333358,22.731745416666683,18.82202583333336
2020-10-12,3251443.0,100.72666666666667,0,0,12.479383333333354,15.023765416666691,12.92508375000002,20.759524166666697,17.894574166666686
2020-10-13,3849616.0,101.11875,1,1,14.962377500000024,15.102858750000022,12.901444166666694,20.33434416666669,20.473586250000025
2020-10-14,4011461.0,96.52916666666664,2,1,12.74286416666669,13.067498333333353,10.658186250000014,18.916373750000023,17.43493916666669
2020-10-15,4034704.0,99.94166666666666,3,1,10.899876250000023,12.647179583333354,10.36371250000002,17.909947500000026,16.772362083333352
2020-10-16,4014289.0,103.76208333333334,4,1,10.01532500000002,12.729587916666697,10.124586250000023,17.785842500000026,14.855898750000016
2020-10-17,3624510.0,103.77916666666664,5,1,11.465295416666685,13.603538750000022,11.361525000000022,17.38601125000002,16.201387500000028
2020-10-18,3330016.0,102.41375,6,1,13.024568750000029,13.607720833333358,12.624760416666694,18.87597958333336,16.297937916666687
2020-10-19,3938277.0,96.8275,0,1,15.666457083333354,14.781662083333352,16.755353750000026,20.68092250000002,16.866978333333353
2020-10-20,4070481.0,97.16291666666666,1,1,14.653822083333358,17.352633750000027,16.720796666666683,21.11786208333336,18.23370708333336
2020-10-21,4034581.0,96.90666666666668,2,1,14.220961250000023,18.93709791666669,18.18770750000002,18.74685125000002,20.178400416666687
