date,hour,value
14/05/2014,7,110.7
14/05/2014,8,112.64
14/05/2014,9,110.71
14/05/2014,10,111.62
14/05/2014,11,111.9
14/05/2014,12,114.4
14/05/2014,13,114.34
14/05/2014,14,112.96
14/05/2014,15,114.04
14/05/2014,16,113.21
14/05/2014,17,113.71
14/05/2014,18,113.74
14/05/2014,19,113.82
14/05/2014,20,117.09
14/05/2014,21,121.95
14/05/2014,22,115.65
14/05/2014,23,111.0
15/05/2014,0,100.2
15/05/2014,1,98.96
15/05/2014,2,96.81
15/05/2014,3,95.52
15/05/2014,4,97.3
15/05/2014,5,99.64
15/05/2014,6,107.69
15/05/2014,7,115.57
15/05/2014,8,116.88
15/05/2014,9,118.06
15/05/2014,10,114.03
15/05/2014,11,114.33
15/05/2014,12,114.14
15/05/2014,13,114.19
15/05/2014,14,112.26
15/05/2014,15,112.4
15/05/2014,16,112.33
